"#","[THREAD_NUMBER]","[RED]","[GREEN]","[BLUE]","[DESCRIPTION]","[CATALOG_NUMBER]"
"#","[STITCH_TYPE]","[X]","[Y]"
"*","STITCH","17.492156","6.826656"
"*","STITCH","18.820438","7.513152"
"*","STITCH","19.881187","8.563940"
"*","STITCH","20.561881","9.894657"
"*","STITCH","20.890588","11.355445"
"*","STITCH","20.954289","12.852303"
"*","STITCH","20.683192","14.321069"
"*","STITCH","19.985328","15.641303"
"*","STITCH","19.871175","16.990883"
"*","STITCH","19.806942","18.482911"
"*","STITCH","19.025831","19.458901"
"*","STITCH","18.130061","19.250000"
"*","STITCH","16.498733","19.250000"
"*","STITCH","13.498733","19.250000"
"*","STITCH","10.498733","19.250000"
"*","STITCH","7.498733","19.250000"
"*","STITCH","7.467737","19.250000"
"*","STITCH","8.081948","19.000000"
"*","STITCH","8.248733","19.000000"
"*","STITCH","11.248733","19.000000"
"*","STITCH","14.248733","19.000000"
"*","STITCH","17.248733","19.000000"
"*","STITCH","17.516624","19.000000"
"*","STITCH","17.022586","18.750000"
"*","STITCH","14.998733","18.750000"
"*","STITCH","11.998733","18.750000"
"*","STITCH","8.998733","18.750000"
"*","STITCH","8.576600","18.750000"
"*","STITCH","9.012943","18.500000"
"*","STITCH","9.748733","18.500000"
"*","STITCH","11.676443","18.500000"
"*","STITCH","13.174128","18.546662"
"*","STITCH","13.921587","18.500000"
"*","STITCH","15.748733","18.500000"
"*","STITCH","16.586780","18.500000"
"*","STITCH","16.190633","18.250000"
"*","STITCH","15.501088","18.250000"
"*","STITCH","14.021954","18.489938"
"*","STITCH","12.524705","18.550313"
"*","STITCH","11.031086","18.425825"
"*","STITCH","10.098546","18.250000"
"*","STITCH","9.409574","18.250000"
"*","STITCH","8.105658","18.988607"
"*","STITCH","6.682420","19.442040"
"*","STITCH","6.004875","19.250000"
"*","STITCH","4.498733","19.250000"
"*","STITCH","2.287007","19.250000"
"*","STITCH","2.116680","19.000000"
"*","STITCH","2.248733","19.000000"
"*","STITCH","5.248733","19.000000"
"*","STITCH","5.922124","19.000000"
"*","STITCH","5.851297","18.750000"
"*","STITCH","2.998733","18.750000"
"*","STITCH","1.956394","18.750000"
"*","STITCH","1.801877","18.500000"
"*","STITCH","3.748733","18.500000"
"*","STITCH","5.792806","18.500000"
"*","STITCH","5.749104","18.250000"
"*","STITCH","4.498733","18.250000"
"*","STITCH","1.658116","18.250000"
"*","STITCH","1.517575","18.000000"
"*","STITCH","2.248733","18.000000"
"*","STITCH","5.248733","18.000000"
"*","STITCH","5.717650","18.000000"
"*","STITCH","5.698717","17.750000"
"*","STITCH","2.998733","17.750000"
"*","STITCH","1.389520","17.750000"
"*","STITCH","1.261465","17.500000"
"*","STITCH","3.748733","17.500000"
"*","STITCH","5.697103","17.500000"
"*","STITCH","5.700932","17.250000"
"*","STITCH","4.498733","17.250000"
"*","STITCH","1.498733","17.250000"
"*","STITCH","1.148390","17.250000"
"*","STITCH","1.035356","17.000000"
"*","STITCH","2.248733","17.000000"
"*","STITCH","5.248733","17.000000"
"*","STITCH","5.725193","17.000000"
"*","STITCH","5.758456","16.750000"
"*","STITCH","2.998733","16.750000"
"*","STITCH","0.932861","16.750000"
"*","STITCH","0.834278","16.500000"
"*","STITCH","3.748733","16.500000"
"*","STITCH","5.809778","16.500000"
"*","STITCH","5.879992","16.250000"
"*","STITCH","4.498733","16.250000"
"*","STITCH","1.498733","16.250000"
"*","STITCH","0.741347","16.250000"
"*","STITCH","0.656747","16.000000"
"*","STITCH","2.248733","16.000000"
"*","STITCH","5.248733","16.000000"
"*","STITCH","5.904607","16.000000"
"*","STITCH","5.694814","15.750000"
"*","STITCH","2.998733","15.750000"
"*","STITCH","0.572490","15.750000"
"*","STITCH","0.501489","15.500000"
"*","STITCH","0.748733","15.500000"
"*","STITCH","3.748733","15.500000"
"*","STITCH","5.513655","15.500000"
"*","STITCH","5.349493","15.250000"
"*","STITCH","4.498733","15.250000"
"*","STITCH","1.498733","15.250000"
"*","STITCH","0.430488","15.250000"
"*","STITCH","0.367405","15.000000"
"*","STITCH","2.248733","15.000000"
"*","STITCH","5.206357","15.000000"
"*","STITCH","5.086008","14.750000"
"*","STITCH","2.998733","14.750000"
"*","STITCH","0.309698","14.750000"
"*","STITCH","0.253537","14.500000"
"*","STITCH","0.748733","14.500000"
"*","STITCH","3.748733","14.500000"
"*","STITCH","4.975292","14.500000"
"*","STITCH","4.889689","14.250000"
"*","STITCH","4.498733","14.250000"
"*","STITCH","1.498733","14.250000"
"*","STITCH","0.208886","14.250000"
"*","STITCH","0.164235","14.000000"
"*","STITCH","2.248733","14.000000"
"*","STITCH","4.812798","14.000000"
"*","STITCH","4.753346","13.750000"
"*","STITCH","2.998733","13.750000"
"*","STITCH","0.127273","13.750000"
"*","STITCH","0.095501","13.500000"
"*","STITCH","0.748733","13.500000"
"*","STITCH","3.748733","13.500000"
"*","STITCH","4.705635","13.500000"
"*","STITCH","4.670900","13.250000"
"*","STITCH","4.498733","13.250000"
"*","STITCH","1.498733","13.250000"
"*","STITCH","0.064171","13.250000"
"*","STITCH","0.045158","13.000000"
"*","STITCH","2.248733","13.000000"
"*","STITCH","4.648416","13.000000"
"*","STITCH","4.637146","12.750000"
"*","STITCH","2.998733","12.750000"
"*","STITCH","0.026145","12.750000"
"*","STITCH","0.012645","12.500000"
"*","STITCH","0.748733","12.500000"
"*","STITCH","3.748733","12.500000"
"*","STITCH","4.633500","12.500000"
"*","STITCH","4.638325","12.250000"
"*","STITCH","4.498733","12.250000"
"*","STITCH","1.498733","12.250000"
"*","STITCH","0.006322","12.250000"
"*","STITCH","0.000000","12.000000"
"*","STITCH","2.248733","12.000000"
"*","STITCH","4.650047","12.000000"
"*","STITCH","4.665035","11.750000"
